accession,Species,Strain,Shape,Endospores,OxygenReq,OptimumTemperature,TemperatureRange,Description
PRJNA250825,Saccharolobus solfataricus,98/2 U2,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250820,Saccharolobus solfataricus,98/2 L1,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250819,Saccharolobus solfataricus,98/2 L2,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA235128,Picrophilus oshimae DSM 9789,DSM 9789,,,,,,"<p>Genomic Encyclopedia of Type Strains, Phase I: one thousand microbial genomes (KMG) project. The goal of the Genomic Encyclopedia of Bacteria and Archaea (GEBA) initiative is to sequence genomes to fill phylogenetic gaps, generating reference genomes for every major and minor group of bacteria and archaea. Currently sequenced genomes have provided highly uneven coverage of the type strain material present in public culture collections. The Microbial Earth Project is an initiative of the Microbial Genomics Program of the DOE Joint Genome Institute that focuses on 1000 Type strains from the DSMZ and ATCC repositories.</p>"
PRJNA221090,Euryarchaeota archaeon SCGC AB-679-A05,SCGC AB-679-A05,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221089,Euryarchaeota archaeon SCGC AB-679-E07,SCGC AB-679-E07,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221085,Euryarchaeota archaeon SCGC AB-679-E04,SCGC AB-679-E04,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221083,Euryarchaeota archaeon SCGC AB-679-K19,SCGC AB-679-K19,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221079,Thaumarchaeota archaeon SCGC AB-679-A06,SCGC AB-679-A06,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221074,Thaumarchaeota archaeon SCGC AB-679-J19,SCGC AB-679-J19,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221072,Thaumarchaeota archaeon SCGC AB-679-D13,SCGC AB-679-D13,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA221013,Thaumarchaeota archaeon SCGC AB-679-P19,SCGC AB-679-P19,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA220989,Thaumarchaeota archaeon SCGC AB-679-K11,SCGC AB-679-K11,,,,,,"Single-cell genome sequencing to explore relationships between physiological succession, ecotype partitioning, and taxonomic replacement under changing levels of water column O2-deficiency. Samples were taken from an ongoing time-series program monitoring microbial community responses in seasonally anoxic coastal, transition, and open-ocean OMZs (oxygen minimum zones). The focus will be on samples from the northeastern subarctic Pacific Ocean (NESAP), which contains the largest and least-studied permanent OMZ in the global ocean."
PRJNA198587,archaeon SCGC AC-334-J23,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198585,archaeon SCGC AC-335-C13,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198582,archaeon SCGC AC-335-G21,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198579,archaeon SCGC AC-335-L21,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198578,archaeon SCGC AC-335-M03,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198569,archaeon SCGC AC-708-L17,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198568,archaeon SCGC AC-708-M03,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198566,archaeon SCGC AC-708-N22,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA198565,archaeon SCGC AC-708-O07,,,,,,,Enigmatic life underneath us: genomic analysis of deep subsurface microorganisms
PRJNA196460,Archaeoglobus sulfaticallidus PM70-1,PM70-1,,,,,,Complete genome of a novel lithoautotrophic sulfate-reducing archaeon.
PRJNA195689,Euryarchaeota archaeon SCGC AC-312-F18,,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA195688,Thaumarchaeota archaeon SCGC AAA292-P19,,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA195686,Thaumarchaeota archaeon SCGC AB-663-F14,,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA195685,Thaumarchaeota archaeon SCGC AB-663-O07,,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190846,Euryarchaeota archaeon SCGC AAA008-E08,SCGC AAA008-E08,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190812,Euryarchaeota archaeon SCGC AB-637-M18,SCGC AB-637-M18,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190808,Euryarchaeota archaeon SCGC AB-637-J17,SCGC AB-637-J17,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190803,Thaumarchaeota archaeon SCGC AB-661-M19,SCGC AB-661-M19,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190800,Euryarchaeota archaeon SCGC AB-629-J07,SCGC AB-629-J07,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190799,Euryarchaeota archaeon SCGC AAA282-L03,SCGC AAA282-L03,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190798,Thaumarchaeota archaeon SCGC AB-663-N18,SCGC AB-663-N18,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190797,Thaumarchaeota archaeon SCGC AB-661-L21,SCGC AB-661-L21,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190796,Thaumarchaeota archaeon SCGC AB-663-P07,SCGC AB-663-P07,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190795,Thaumarchaeota archaeon SCGC AB-663-G14,SCGC AB-663-G14,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190794,Thaumarchaeota archaeon SCGC AB-661-I02,SCGC AB-661-I02,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA190793,Thaumarchaeota archaeon SCGC AAA282-K18,SCGC AAA282-K18,,,,,,"Dark ocean microbial single-cell genomics. This is a reference genome for studying planktonic microorganisms from the ocean below 200 m. Genomes from predominant dark-ocean clades will improve interpretation of metagenomic, metatranscriptomic and metaproteomic data to better understand metabolic features and ecological roles of the microbial groups. We focus on microbes without representation in laboratory cultures or genome sequencing projects, as well as chemoautotrophic groups, which likely have a major impact on the global carbon cycle."
PRJNA177768,Thermoplasmata archaeon JGI 0000113-B15,JGI 0000113-B15,,,,,,"Microbial Systems Ecology of Expanding Oxygen-Minimum Zones (OMZs) in the Northeast subarctic Pacific Ocean (NESAP). This project investigates microbial gene expression in the OMZ of the NESAP. Comparative metagenomics and transcriptomics approaches will identify molecular indicators for microbial community responses to changing levels of water-column oxygen-deficiency, with samples from locations representing seasonally anoxic, coastal, transition and open-ocean OMZs. The multi-molecular data sets will facilitate identification of environmental and genetic factors regulating systems metabolism and biogeochemical cycling within the oxygen-deficient water column. These ecological indicator genes will aid development of probe sets for in situ monitoring devices, and provide a database for comparative community genomic studies."
PRJNA70815,Caldisphaera lagunensis DSM 15908,DSM 15908,,,,,,
PRJNA63567,Methanoregula formicica SMSP,SMSP,,,,,,
PRJNA62035,Methanolinea tarda NOBI-1,NOBI-1,,,,,,<P>This strain will be used for comparative analysis.
PRJEA60103,Nitrososphaera viennensis EN76,EN76,,,,,,<p> <b><i>Candidatus Nitrososphaera</i> sp. EN76</b>. This strain will be used for comparative genome analysis.
PRJNA56049,Halopiger xanaduensis SH-6,SH-6,,,,,,<p> <b><i>Halopiger xanaduensis</i> SH-6</b>. This strain will be used for comparative genome analysis.
PRJNA53561,Methanobacterium paludis,SWAN-1,,,,,,
PRJNA53495,Methanobacterium lacus,AL-21,,,,,,
PRJNA51621,Archaeoglobus veneficus SNP6,SNP6,eCocci,,eAnaerobic,,eHyperthermophilic,<p> <b><i>Archaeoglobus veneficus</i> SNP6</b>. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA50749,Methanomethylovorans hollandica DSM 15978,DSM 15978,eCocci,,eAnaerobic,34-37,eMesophilic,<p> <b><i>Methanomethylovorans hollandica</i> DSM 15978</b>. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA49401,Desulfurococcus amylolyticus DSM 16532,DSM 16532,eCocci,,eAnaerobic,80-82,eHyperthermophilic,<P> <B><I>Desulfurococcus fermentans</I> DSM 16532</B>. This genome will be used for comparative analysis.
PRJNA48641,Desulfurococcus mucosus DSM 2162,DSM 2162,eCocci,,eAnaerobic,,eHyperthermophilic,<p> <b><i>Desulfurococcus mucosus</i> DSM 2162</b>. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA48579,Pyrolobus fumarii 1A,1A,eCocci,,eFacultative,106,eHyperthermophilic,<P><B><I>Pyrolobus fumarii</I> 1A</B>. <I>Pyrolobus fumarii</I> 1A (DSM 11204) was isolated from the wall of a black smoker hydrothermal vent on the Mid Atlantic Ridge. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA46985,Natronococcus occultus SP4,SP4,eCocci,,eAerobic,37,eMesophilic,<p> <b><i>Natronococcus occultus</i> SP4</b>.</p> This organism is part of GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA40773,Methanolacinia petrolearia DSM 11571,DSM 11571,eCocci,,eAnaerobic,,eMesophilic,<P><B><I>Methanoplanus petrolearius</I> DSM 11571</B>. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA40771,Methanosalsum zhilinae DSM 4017,DSM 4017,,,eAnaerobic,,,<P><B><I>Methanosalsum zhilinae</I> DSM 4017</B>. This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.
PRJNA36571,Thermosphaera aggregans DSM 11486,DSM 11486,eCocci,,eAnaerobic,,eHyperthermophilic,<p> <b><i>Thermosphaera aggregans</i> DSM 11486</b>. This is the type strain and will be used for comparative genome analysis.
PRJNA33689,Methanothermus fervidus DSM 2088,DSM 2088,eBacilli,,eAnaerobic,80-88,eThermophilic,<p><B><I>Methanothermus fervidus</I> DSM 2088</B>. <I>Methanothermus fervidus</I> DSM 2088 will be used for comparative analysis with other methanogens.
PRJNA33683,Staphylothermus hellenicus DSM 12710,DSM 12710,eCocci,,eAnaerobic,85,eHyperthermophilic,<p><B><I>Staphylothermus hellenicus</I> DSM 12710</B>. <I>Staphylothermus hellenicus</I> DSM 12710 is the type strain and will be used for comparative analysis with other hyperthermophiles.
PRJNA33635,Ferroglobus placidus DSM 10642,DSM 10642,eCocci,,eAnaerobic,85,,<p><B><I>Ferroglobus placidus</I> DSM 10642</B>. <I>Ferroglobus placidus</I> DSM 10642 is the type strain and will be used for comparative analysis.
PRJNA33361,Ignisphaera aggregans DSM 17230,DSM 17230,eCocci,,eAnaerobic,95,eHyperthermophilic,<p> <b><i>Ignisphaera aggregans</i> DSM 17230</b>. This type strain (isolate AQ1.S1; DSM 17230; JCM 13409) will be sequenced for comparative genome analysis.
PRJNA32589,Vulcanisaeta distributa DSM 14429,DSM 14429,eBacilli,,eAnaerobic,85-90,eHyperthermophilic,<p><B><I>Vulcanisaeta distributa</I> DSM 14429</B>. <I>Vulcanisaeta distributa</I> DSM 14429 is the type strain and will be used for comparative analysis.
PRJNA32583,Archaeoglobus profundus DSM 5631,DSM 5631,eCocci,,eAnaerobic,,eHyperthermophilic,<p><I><B>Archaeoglobus profundus</I> DSM 5631</B>. This is the type strain. It will be used for comparative analysis with other hyperthermophiles.
PRJNA30691,Natrialba magadii ATCC 43099,ATCC 43099,eBacilli,,eAerobic,,eMesophilic,<p><B><I>Natrialba magadii</I> ATCC 43099</B>. <I>Natrialba magadii</I> ATCC 43099 will be used for comparative analysis.
PRJNA30411,Haloterrigena turkmenica DSM 5511,DSM 5511,eCocci,,eAerobic,,,<p> <b><i>Haloterrigena turkmenica</i> DSM 5511</b>. <i>Haloterrigena turkmenica</i> DSM 5511 (VKM B-1734) is the type strain and will be used for comparative analysis.
PRJNA29381,Methanosphaerula palustris E1-9c,E1-9c,eCocci,,eAnaerobic,30,eMesophilic,"<p><B>Candidatus <I>Methanosphaerula palustris</I> E1-9c</B>. Candidatus <I>Methanosphaerula palustris</I> E1-9c (ATCC BAA1556, DSM 19958) is the type strain and will be used for comparative analysis with other methanogens."
PRJNA29305,Halorhabdus utahensis DSM 12940,DSM 12940,eBacilli,,eAerobic,50,eMesophilic,<P><B><I>Halorhabdus utahensis</I> DSM 12940</B>. <I>Halorhabdus utahensis</I> DSM 12940 (AX-2) was isolated from sediment from the Great Salt Lake in Utah. DSM 12940 is the type strain and will be used for comparative analysis with other halophiles
PRJNA27945,Halomicrobium mukohataei DSM 12286,DSM 12286,eBacilli,,eFacultative,45,eMesophilic,<P><B><I>Halomicrobium mukohataei</I> DSM 12286</B>. <I>Halomicrobium mukohataei</I> DSM 12286 (ATCC 700874) was isolated from salt flats in Argentina. <I>Halomicrobium mukohataei</I> DSM12286 is the type strain and will be used for comparative analysis.
PRJNA20743,Halogeometricum borinquense DSM 11551,DSM 11551,,,eAerobic,40,,<P><B><I>Halogeometricum borinquense</I> DSM 11551</B>. <I>Halogeometricum borinquense</I> DSM 11551 (ATCC 700274) was isolated from solar salterns in Puerto Rico. <I>Halogeometricum borinquense</I> DSM 11551 is the type strain and will be used for comparative analysis.
PRJNA19639,Methanococcus maripaludis C6,C6,eCocci,,eAnaerobic,,eMesophilic,<p> <b><i>Methanococcus maripaludis</i> C6</b>. This strain was isolated from intertidal sediments and is being sequenced for comparative genome analysis.
PRJNA19265,Nitrosopumilus maritimus SCM1,SCM1,eBacilli,,eAerobic,,eMesophilic,<p><B><I>Nitrosopumilus maritimus</I> SCM1</B>. <I>Nitrosopumilus maritimus</I> SCM1 was isolated from a salt-water aquarium. This organism is able to fix carbon and oxidize ammonia and will be used for comparative analysis.
PRJNA18871,Sulfolobus islandicus M.14.25,M.14.25,eCocci,,eAerobic,75-85,eHyperthermophilic,"<p> <b><i>Sulfolobus islandicus</i> M.14.25</b>. This strain, also designated Kamchatka #1, was isolated from a hot spring on the Kamchatka Penninsula, in the Russian Far East. It is being sequenced for comparative genome analysis."
PRJNA18819,Methanococcus maripaludis C7,C7,eCocci,,eAnaerobic,,eMesophilic,<p> <b><i>Methanococcus maripaludis</i> C7</b>. This strain was isolated from intertidal sediments and is being sequenced for comparative genome analysis.
PRJNA18641,Methanococcus aeolicus Nankai-3,Nankai-3,eCocci,,eAnaerobic,42,eMesophilic,<p><B><I>Methanococcus aeolicus</I> Nankai-3</B>. <I>Methanococcus aeolicus</I> Nankai-3 is the type strain and will be used for comparative analysis.
PRJNA18505,Methanoregula boonei 6A8,6A8,eBacilli,,eAnaerobic,37,eMesophilic,Acidophilic methanogen
PRJNA18455,Halorubrum lacusprofundi ATCC 49239,ATCC 49239,eBacilli,,eAerobic,,eMesophilic,"<P><B><I>Halorubrum lacusprofundi</I> ATCC 49239</B>. Formerly <I>Halobacterium lacusprofundi</I>, this organism is an extremely halophilic archaeon isolated from Deep Lake, Antarctica. This organism will be used for comparative genomics with other extreme halophiles."
PRJNA18111,Pyrobaculum calidifontis JCM 11548,JCM 11548,eBacilli,,eFacultative,90-95,eHyperthermophilic,<p><B><I>Pyrobaculum calidifontis</I> JCM 11548</B>. <I>Pyrobaculum calidifontis</I> JCM 11548 is being sequenced as part of a comparative genomic study of hyperthermophilic Archaea.
PRJNA18109,Methanocorpusculum labreanum Z,Z,eCocci,,eAnaerobic,37,eMesophilic,"<p><B><I>Methanocorpusculum labreanum</I> Z</B>. <I>Methanocorpusculum labreanum</I> Z was isolated from surface sediment from the LaBrea Tar Pits in Los Angeles, California. This organism will be used for comparative genomics with other methanogens."
PRJNA17889,Methanococcus vannielii SB,SB,eCocci,,eAnaerobic,30,eMesophilic,<p> <b><i>Methanococcus vannielii</i> SB</b>. This strain is being sequenced for comparative genome analysis.
PRJNA17641,Methanococcus maripaludis C5,C5,eCocci,,eAnaerobic,,eMesophilic,<P> <I><B>Methanococcus maripaludis</I> C5</B>. <I>Methanococcus maripaludis</I> C5 is the natural host for plasmid pURB500 which has been sequenced and used to design a shuttle vector for <I>M. maripaludis</i> and <I>E. coli</I>. <I>Methanococcus maripaludis</I> C5 will be used for comparative analysis.
PRJNA17421,Caldivirga maquilingensis IC-167,IC-167,eBacilli,,eMicroaerophilic,85,eHyperthermophilic,<p><B><I>Caldivirga maquilingensis</I> IC-167</B>. This strain is the type strain and is being sequenced as part of a comparative genomic study of hyperthermophilic Archaea.
PRJNA16525,Candidatus Korarchaeum cryptofilum OPF8,,eFilamentous,,eAnaerobic,,eThermophilic,<P><b><I>Candidatus Korarchaeum cryptofilum</I> OPF8</b>. This organism is being sequenced for comparative genome analysis.
PRJNA15582,Pyrobaculum arsenaticum DSM 13514,DSM 13514,eBacilli,,eAnaerobic,,eHyperthermophilic,"<P><B><I>Pyrobaculum arsenaticum</I> strain DSM 13514</B>. <I>Pyrobaculum arsenaticum</I> strain DSM 13514 was isolated from a hot spring at Pisciarelli Solfatara in Italy, and is the type strain for this species."
PRJNA13497,Methanogenium frigidum Ace-2,Ace-2,eCocci,,,15,ePsychrophilic,"<P><b><i>Methanogenium frigidum </i>Ace-2</b>. This marine archaeon was collected from Ace Lake, Vestfold Hills, Antarctica at a depth of 24 meters and was isolated in methanogenic growth medium. This strain will be used for comparative genomics."
PRJNA10632,Methanococcus maripaludis S2,S2,eCocci,,eAnaerobic,35-40,eMesophilic,"<P><I><B>Methanococcus maripaludis</I> strain S2</B>. This strain was first isolated from salt marsh sediment near Pawley's Island, South Carolina and will be used for comparative analysis."
